12.95,1.5,0.16,175.2
23.13,3.6,0.33,173.5
15.2,1.88,0.33,46.2
18.24,2.53,0.54,33.7
11.41,1.24,0.27,47.5
19.47,2.78,0.11,175.8
11.38,1.23,0.33,46.8
18.65,2.61,0.21,167.4
16.39,2.15,0.48,34.1
15.64,1.99,0.27,152.6
17.6,2.38,0.47,34.5
18.18,2.45,0.28,45.8
20.42,3,0.47,177.7
19.35,2.75,0.43,145.7
20.75,3.06,0.25,166.7
17.12,2.29,0.47,35.1
19.34,2.75,0.14,158.6
20.21,2.98,0.51,145.1
20.39,2.98,0.24,156.5
22.45,3.45,0.13,165
25.15,4.09,0.21,170.4
19.87,2.85,0.37,165.8
18.44,2.55,0.34,151.5
22.09,3.37,0.48,156.1
23.06,3.59,0.19,167.7
17.67,2.4,0.46,161
22.94,3.55,0.45,169.7
19.35,2.76,0.22,163.6
18.46,2.56,0.32,174.8
17.96,2.43,0.17,46.3
21,3.1,0.53,166
19.89,2.86,0.33,165.3
18.4,2.6,0.26,169
19.4,2.8,0.18,168
18.8,2.6,0.14,156
22.43,3.44,0.38,158.6
16.7,2.2,0.18,174
18.9,2.7,0.19,178
